"date","new_cases"
"486","2021-05-02",27245
"487","2021-05-03",20203
"488","2021-05-04",17478
"489","2021-05-05",15889
"490","2021-05-06",17918
"491","2021-05-07",3888
"492","2021-05-08",1562
"493","2021-05-09",23884
"494","2021-05-10",16618
"495","2021-05-11",15762
"496","2021-05-12",1571
"497","2021-05-13",17164
"498","2021-05-14",8576
"499","2021-05-15",2262
"500","2021-05-16",18820
"501","2021-05-17",15432
"502","2021-05-18",13220
"503","2021-05-19",11514
"504","2021-05-20",11986
"505","2021-05-21",4817
"506","2021-05-22",13447
"507","2021-05-23",11821
"508","2021-05-24",9704
"509","2021-05-25",1908
"510","2021-05-26",1749
"511","2021-05-27",12438
"512","2021-05-28",13704
"513","2021-05-29",11090
"514","2021-05-30",10007
"515","2021-05-31",8541
"516","2021-06-01",938
"517","2021-06-02",8498
"518","2021-06-03",8582
"519","2021-06-04",7978
"520","2021-06-05",6762
"521","2021-06-06",6229
"522","2021-06-07",5070
"523","2021-06-08",946
"524","2021-06-09",4700
"525","2021-06-10",5358
"526","2021-06-11",4475
"527","2021-06-12",3639
"528","2021-06-13",3603
"529","2021-06-14",2850
"530","2021-06-15",407
"531","2021-06-16",1867
"532","2021-06-17",2865
"533","2021-06-18",2775
"534","2021-06-19",2132
"535","2021-06-20",2322
"536","2021-06-21",1815
"537","2021-06-22",290
"538","2021-06-23",978
"539","2021-06-24",2287
"540","2021-06-25",1796
"541","2021-06-26",1851
"542","2021-06-27",1762
"543","2021-06-28",1571
"544","2021-06-29",509
"545","2021-06-30",1104
"546","2021-07-01",2336
"547","2021-07-02",2572
"548","2021-07-03",2581
"549","2021-07-04",2695
"550","2021-07-05",2549
"551","2021-07-06",796
"552","2021-07-07",2044
"553","2021-07-08",3996
"554","2021-07-09",4324
"555","2021-07-10",4498
"556","2021-07-11",4102
"557","2021-07-12",4231
"558","2021-07-13",1120
"559","2021-07-14",5367
"560","2021-07-15",8748
"561","2021-07-16",3583
"562","2021-07-17",8433
"563","2021-07-18",10949
"564","2021-07-19",12523
"565","2021-07-20",3959
